message,label
Win money now,spam
Get free recharge,spam
Limited offer claim now,spam
Click this link to earn cash,spam
Congratulations you won a prize,spam
Free mobile balance available,spam
Urgent! claim your reward now,spam
Earn money from home easily,spam
Exclusive deal just for you,spam
Act now to get free gift,spam

Hello friend,safe
How are you?,safe
Let's meet tomorrow,safe
Are you coming today?,safe
See you in class,safe
Can we talk later?,safe
I will call you in the evening,safe
Let's finish the assignment,safe
What are you doing?,safe
Have a nice day,safe
